rain,rains
snow,snows
ice,ices
lava,lavas
smoke,smokes
honey,honeys
money,monies
monkey,monkeys
gorilla,gorillas
sheep,sheep
ox,oxen
octopus,octopuses
umbrella,umbrellas
mirror,mirrors
eraser,erasers
tree,trees
pencil,pencils
pen,pens
couch,couches
person,people
turkey,turkeys
lasagna,lasagne
curry,curries
piano,pianos
man,men
woman,women
boy,boys
girl,girls
boyfriend,boyfriends
girlfriend,girlfriends
family,families
husband,husbands
wife,wives
aunt,aunts
uncle,uncles
grandpa,grandpas
grandma,grandmas
cousin,cousins
cat,cats
dog,dogs
school,schools
apple,apples
shoe,shoes
rock,rocks
clown,clowns
book,books
dictionary,dictionaries
pizza,pizzas
sushi,sushis
pineapple,pineapples
employee,employees
home,homes
house,houses
apartment,apartments
time,times
clock,clocks
philosopher,philosophers
robot,robots
business,businesses
businessman,businessmen
dancer,dancers
cucumber,cucumbers
computer,computers
adult,adults
child,children
jacket,jackets
T-shirt,T-shirts
hat,hats
tie,ties
cap,caps
belt,belts
pant,pants
suit,suits
dress,dresses
party,parties
kid,kids
car,cars
boat,boats
train,trains
plane,planes
food,foods
salt,salts
baby,babies
magazine,magazines
newspaper,newspapers
sock,socks
glove,gloves
government,governments
yam,yams
skateboarder,skateboarders
kid,kids
bicycle,bicycles
motorcycle,motorcycles
kidney,kidneys
giraffe,giraffes
sword,swords
shield,shields
spear,spears
axe,axes
bow,bows
drink,drinks
laptop,laptops
foot,feet
weed,weeds
planet,planets
leg,legs
road,roads
street,streets
avenue,avenues
sidewalk,sidewalks
lion,lions
shark,sharks
lawyer,lawyers
insect,insects
website,websites
mouse,mice
ocean,oceans
state,states
biscuit,biscuits
mountain,mountains
building,buildings
castle,castles
table,tables
desk,desks
sofa,sofas
couch,couches
plastic,plastics
morning,mornings
toy,toys
chocolate,chocolates
fish,fish
fisherman,fishermen
flower,flowers
fruit,fruits
vegetable,vegetables
animal,animals
herb,herbs
lady,ladies
gentleman,gentlemen
language,languages
movie,movies
president,presidents
student,students
teacher,teachers
life,lives
company,companies
eye,eyes
eyeball,eyeballs
eyebrows,eyebrows
problem,problems
firework,fireworks
breeze,breezes
aroma,aromas
color,colors
campfire,campfires
fire,fires
firefighter,firefighters
soul,souls
asteroid,asteroids
meteor,meteors
moon,moons
sky,skies
day,days
elephant,elephants
giraffe,giraffes
boot,boots
helmet,helmets
actor,actors
actress,actresses
waitor,waitors
waitress,waitresses
singer,singers
program,programs
truck,trucks
airplane,airplanes
guitar,guitars
